Body Mass (g),Basal Metabolic Rate (W)
1430.0,1278.0
1365.0,1.54
37900.0,50107.0
10500.0,17439.0
3600.0,5227.0
1012.0,1.44
9400.0,23542.0
98000.0,94.58
50400.0,62419.0
137900.0,133859.0
37200.0,49326.0
8400.0,9.69
14280.0,12747.0
2010.0,3085.0
1698.0,4167.0
3160.0,7665.0
2260.0,5.09
4270.0,4814.0
540.0,2287.0
611.0,2248.0
850.0,1729.0
34300.0,31954.0
8100.0,12239.0
10000.0,14.99
7720.0,21533.0
5444.0,8502.0
8750.0,33.01
3600.0,7665.0
1769.0,4.78
1769.0,4948.0
4440.0,13623.0
1215.0,3252.0
66957.0,47064.0
54000.0,118.59
150000.0,168.93
27400.0,73.29
2950.0,6811.0
18000.0,67278.0
12700.0,31765.0
10000.0,25104.0
900.0,3319.0
920.0,4.0
11050.0,16647.0
75.0,0.93
225.0,1344.0
660.0,2722.0
9000.0,15062.0
624.0,1674.0
1280.0,3537.0
3670.0,6733.0
4000.0,5346.0
2343.0,4441.0
1160.0,2588.0
5075.0,8.92
5740.0,4898.0
177500.0,164.92
135000.0,104.15
20500.0,33165.0
407000.0,224779.0
115000.0,148.94
1618.0,4865.0
325000.0,286847.0
21500.0,46347.0
67000.0,112.43
58588.0,142863.0
85000.0,119.66
37800.0,51981.0
347000.0,306.77
196500.0,230073.0
100000.0,148949.0
4290.0,11966.0
32000.0,46414.0
69125.0,106663.0
4200.0,10075.0
9600.0,20619.0
150000.0,200.83
634.0,634.0
